course_title,professor,location,course_code,course_subject
Managerial Exchange.,Leslie   Breitner ,TBA,672D2,BUSA
Managing Context.,Leslie   Breitner ,TBA,675,BUSA
Managing Context.,TBA,TBA,675,BUSA
Managing People.,Leslie   Breitner ,TBA,680,BUSA
Managing People.,TBA,TBA,680,BUSA
Managing Change.,TBA,TBA,685,BUSA
Advanced Topics in Management 2.,Michael M   Avedesian ,BRONF 340,691,BUSA
Advanced Topics in Management 3.,TBA,BRONF 340,692,BUSA
Accounting for Management.,TBA,TBA,520,CACC
Accounting for Management.,TBA,ENGTR 0100,520,CACC
Concepts of Financial Accounting.,TBA,ARTS W-20,521,CACC
Couple and Family Therapy Pre-Practicum.,Heather Beth  MacIntosh ,WILSON 105,600,CAFT
Advanced Assessment in Couple and Family Therapy.,Guylaine   Seguin ,LEA 210,602,CAFT
Research Methods for Couple and Family Therapists.,Marjorie Aude   Rabiau ,WILSON 105,603,CAFT
Human Development Across Lifespan: Couple & Family Therapy.,Marjorie Aude   Rabiau ,WILSON 110,608,CAFT
Introduction to the Study of Canada.,TBA,WONG 1020,200,CANS
Introduction to the Study of Canada.,TBA,SADB 1/12,200,CANS
Topics in Canadian Studies 2.,TBA,ARTS W-20,301,CANS
Canadian Cultures: Context and Issues.,TBA,ARTS 260,310,CANS
Indigenous Art and Culture.,TBA,ARTS W-215,315,CANS
Introduction to Catholicism.,Douglas B   Farrow ,BIRKS 203,200,CATH
Mystery and the Imagination.,John   Zucchi ,LEA 424,325,CATH
Gestion financière de la copropriété au Québec.,Aline   Desormeaux ,ENGMD 280,101,CBUS
Gestion financière de la copropriété au Québec.,TBA,ENGMD 280,101,CBUS
Gestion juridique de la copropriété 1.,Yves   Joli-Coeur ,ENGMC 13,103,CBUS
Gestion juridique de la copropriété 1.,Yves   Joli-Coeur ,TBA,103,CBUS
Current Trends in Digital Communication.,Michelle   Sullivan ,LEA 116,110,CBUS
Content Creation.,Scott   Cross ,ARTS 150,111,CBUS
Fundamentals of Management Consulting.,Pierre   Lainey ,ENGTR 0100,120,CBUS
Effective Public Speaking.,Monica   Carbonneau ,SH688 294,204,CBUS
Comprehensive Business Analysis.,Robert William   Abbott | Georges   Bryson ,BURN 511,210D1,CBUS
Interpersonal Skills for Professionals.,James Beatty   Hunter | Robert William   Abbott ,ENGTR 2110,216,CBUS
Leading Sustainable Change.,TBA,TBA,221,CBUS
Leading Sustainable Change.,TBA,LEA 15,221,CBUS
Auditing 1.,TBA,RPHYS 115,511,CCAU
Programming Techniques 1.,TBA,ENGMD 279,300,CCCS
Operating Systems Administration.,TBA,ENGMD 280,321,CCCS
Mobile Application Development.,TBA,ENGMD 276,325,CCCS
Database Design and Business Applications Development.,TBA,ENGTR 1080,330,CCCS
Financial Accounting 1.,TBA,ENGTR 2120,511,CCFC
Financial Accounting 2.,TBA,ENGMD 276,512,CCFC
Financial Accounting 3.,TBA,WONG 1020,513,CCFC
Law 1.,TBA,ENGTR 1100,511,CCLW
Managerial Accounting 1.,TBA,ENGMD 279,511,CCMA
Managerial Accounting 2.,TBA,ENGMD 276,522,CCMA
Managerial Accounting 3.,TBA,ENGTR 1080,523,CCMA
Communication in Management 1.,TBA,LEA 210,205,CCOM
Communication in Management 1.,TBA,EDUC 629,205,CCOM
Communication in Management 1.,TBA,TBA,205,CCOM
Communication in Engineering.,TBA,SH688 361,206,CCOM
Communication in Engineering.,TBA,SH688 223,206,CCOM
Communication in Engineering.,TBA,SH688 365,206,CCOM
Communication in Engineering.,TBA,SH688 391,206,CCOM
Communication in Engineering.,TBA,SH688 1088,206,CCOM
Communication in Engineering.,TBA,SH688 223,206,CCOM
Communication in Engineering.,TBA,SH688 294,206,CCOM
Communication in Engineering.,TBA,LEA 116,206,CCOM
Communication in Engineering.,TBA,SH688 391,206,CCOM
Communication in Engineering.,TBA,SH688 395,206,CCOM
Communication in Engineering.,TBA,SH688 223,206,CCOM
Communication in Engineering.,TBA,SH688 1055,206,CCOM
Communication in Engineering.,TBA,SH688 451,206,CCOM
Communication in Engineering.,TBA,SH688 451,206,CCOM
Communication in Engineering.,TBA,SH688 1065,206,CCOM
Applications Programming.,TBA,ENGTR 1100,505,CCS2
Multimedia Communication Design and Marketing.,TBA,ENGTR 1090,550,CCS2
English Usage for Translators.,TBA,STBIO W2/3A,222,CCTR
Le bon usage pour traducteurs.,TBA,SH688 1161,223,CCTR
French Translation 1.,TBA,LEA 219,225,CCTR
English Translation 1.,TBA,SH688 365,226,CCTR
Spanish Translation 1.,TBA,ENGTR 1080,227,CCTR
Documentation and Terminology/Documentation et terminologie.,TBA,SH688 1085,232,CCTR
